"id","full_name","flow_code"
"38","Васильев Роман Олегович","MATH101-F23"
"36","Волков Игорь Николаевич","MATH101-F23"
"25","Иванов Иван Иванович","MATH101-F23"
"33","Кузнецова Ольга Сергеевна","MATH101-F23"
"34","Лебедев Максим Дмитриевич","MATH101-F23"
"29","Михайлов Дмитрий Петрович","MATH101-F23"
"32","Новиков Андрей Викторович","MATH101-F23"
"26","Петрова Мария Сергеевна","MATH101-F23"
"35","Попова Татьяна Алексеевна","MATH101-F23"
"37","Семенова Юлия Валерьевна","MATH101-F23"
"27","Сидоров Алексей Дмитриевич","MATH101-F23"
"31","Соколов Сергей Александрович","MATH101-F23"
"30","Федорова Елена Ивановна","MATH101-F23"
