"id","full_name","email","role_id","unit_id"
"14","Васильев Роман Олегович","vasiliev@student.university.edu","1","1"
"12","Волков Игорь Николаевич","volkov@student.university.edu","1","1"
"9","Кузнецова Ольга Сергеевна","kuznetsova@student.university.edu","1","1"
"10","Лебедев Максим Дмитриевич","lebedev@student.university.edu","1","1"
"5","Михайлов Дмитрий Петрович","mikhailov@student.university.edu","1","1"
"8","Новиков Андрей Викторович","novikov@student.university.edu","1","1"
"2","Петрова Мария Сергеевна","petrova@student.university.edu","1","1"
"11","Попова Татьяна Алексеевна","popova@student.university.edu","1","1"
"13","Семенова Юлия Валерьевна","semenova@student.university.edu","1","1"
"3","Сидоров Алексей Дмитриевич","sidorov@student.university.edu","1","1"
"7","Соколов Сергей Александрович","sokolov@student.university.edu","1","1"
"6","Федорова Елена Ивановна","fedorova@student.university.edu","1","1"
